,year,month,intent,police,sex,age,race,hispanic,place,education,0
67200,2014,1,Suicide,0,M,23,White,100,Trade/service area,HS/GED,
67201,2014,1,Suicide,0,M,20,White,100,Other specified,Some college,
67202,2014,1,Suicide,0,M,45,White,100,Home,BA+,
67203,2014,1,Suicide,0,M,34,Native American/Native Alaskan,100,Home,HS/GED,
67204,2014,1,Suicide,0,M,19,Native American/Native Alaskan,100,Home,HS/GED,
67205,2014,1,Suicide,0,M,22,White,100,Home,Some college,
67206,2014,1,Suicide,0,M,21,Black,100,Trade/service area,HS/GED,
67207,2014,1,Suicide,0,M,35,Native American/Native Alaskan,100,Street,HS/GED,
67208,2014,1,Homicide,0,M,31,White,100,Other specified,Less than HS,
67209,2014,2,Suicide,0,M,54,White,100,Home,HS/GED,
67210,2014,1,Suicide,0,M,15,White,100,Home,Less than HS,
67211,2014,2,Suicide,0,M,40,Native American/Native Alaskan,100,Home,HS/GED,
67212,2014,2,Accidental,0,M,13,Native American/Native Alaskan,100,Home,Less than HS,
67213,2014,2,Suicide,0,M,56,White,100,Home,HS/GED,
67214,2014,2,Suicide,0,M,42,White,100,Home,HS/GED,
67215,2014,2,Homicide,0,M,22,Black,100,Home,HS/GED,
67216,2014,2,Accidental,0,M,24,White,100,Home,HS/GED,
67217,2014,2,Suicide,0,F,22,Black,100,School/instiution,HS/GED,
67218,2014,2,Suicide,0,M,47,White,100,Home,BA+,
67219,2014,2,Suicide,0,M,50,White,100,Other specified,Some college,
67220,2014,3,Suicide,0,M,37,White,100,Home,HS/GED,
67221,2014,3,Homicide,0,M,55,Native American/Native Alaskan,100,Other specified,Some college,
67222,2014,3,Suicide,0,M,55,Native American/Native Alaskan,100,Other specified,Some college,
67223,2014,3,Suicide,0,M,63,White,100,Home,HS/GED,
67224,2014,2,Suicide,0,M,51,White,100,Home,HS/GED,
67225,2014,3,Undetermined,0,M,38,White,100,Home,Some college,
67226,2014,3,Suicide,0,M,58,White,100,Home,Less than HS,
67227,2014,3,Suicide,0,M,63,White,100,Home,BA+,
67228,2014,3,Suicide,0,M,22,White,100,Home,Some college,
67229,2014,3,Suicide,0,F,64,White,100,Home,Less than HS,
67230,2014,3,Undetermined,0,F,23,White,100,Home,HS/GED,
67231,2014,4,Suicide,0,M,51,White,100,Home,HS/GED,
67232,2014,3,Homicide,0,M,52,White,100,Street,Less than HS,
67233,2014,3,Homicide,0,F,47,Native American/Native Alaskan,100,Other specified,HS/GED,
67234,2014,3,Undetermined,0,F,35,Native American/Native Alaskan,100,Home,Some college,
67235,2014,4,Suicide,0,M,35,White,100,Home,Some college,
67236,2014,4,Suicide,0,M,42,White,100,Home,Some college,
67237,2014,3,Homicide,0,M,45,Native American/Native Alaskan,100,Other specified,Some college,
67238,2014,4,Suicide,0,M,47,White,100,Home,HS/GED,
67239,2014,4,Suicide,0,M,31,Hispanic,210,Trade/service area,HS/GED,
67240,2014,4,Suicide,0,M,59,Hispanic,210,Other specified,Less than HS,
67241,2014,3,Suicide,0,M,60,Asian/Pacific Islander,100,Home,Some college,
67242,2014,4,Suicide,0,M,42,White,100,Home,Some college,
67243,2014,4,Suicide,0,M,32,White,100,Home,Some college,
67244,2014,4,Suicide,0,M,26,White,100,Other specified,Some college,
67245,2014,5,Suicide,0,M,61,White,100,Other specified,Some college,
67246,2014,5,Homicide,0,M,45,White,100,Home,BA+,
67247,2014,5,Homicide,0,M,26,White,100,Home,Some college,
67248,2014,5,Suicide,0,M,18,White,100,Street,Less than HS,
67249,2014,5,Suicide,0,M,39,White,100,Home,HS/GED,
67250,2014,4,Suicide,0,M,28,Native American/Native Alaskan,100,Home,HS/GED,
67251,2014,5,Suicide,0,M,30,Native American/Native Alaskan,100,Home,Some college,
67252,2014,5,Homicide,0,M,51,White,100,Home,HS/GED,
67253,2014,5,Suicide,0,F,30,Native American/Native Alaskan,100,Home,Less than HS,
67254,2014,4,Suicide,0,M,36,Native American/Native Alaskan,100,Home,HS/GED,
67255,2014,5,Suicide,0,M,54,White,100,Home,HS/GED,
67256,2014,4,Suicide,0,M,24,Black,100,Other specified,HS/GED,
67257,2014,5,Suicide,0,M,24,White,100,Home,NA,
